Date,Open,High,Low,Close,Adj Close,Volume,7. dividend amount,8. split coefficient,Ticker
1999-11-01,136.5,137.0,135.5625,135.5625,85.6069929719289,4006500,0.0000,1.0,SPY
1999-11-02,135.968704,137.25,134.593704,134.593704,84.9952034846944,6516900,0.0000,1.0,SPY
1999-11-03,136.0,136.375,135.125,135.5,85.567524556543,7222300,0.0000,1.0,SPY
1999-11-04,136.75,137.359299,135.765594,136.531204,86.218724361656,7907500,0.0000,1.0,SPY
1999-11-05,138.625,139.109299,136.781204,137.875,87.0673243412057,7431500,0.0000,1.0,SPY
1999-11-08,137.0,138.375,136.75,138.0,87.1462611719774,4649200,0.0000,1.0,SPY
1999-11-09,138.5,138.6875,136.281204,136.703094,86.3272719763868,4533700,0.0000,1.0,SPY
1999-11-10,136.25,138.390594,136.078094,137.718704,86.9686242539873,6405600,0.0000,1.0,SPY
1999-11-11,138.1875,138.5,137.468704,138.5,87.4620084950643,4794100,0.0000,1.0,SPY
1999-11-12,139.25,139.984299,137.125,139.75,88.2513768027815,11802900,0.0000,1.0,SPY
1999-11-15,139.843704,140.25,139.406204,140.078094,88.4585664072232,2187500,0.0000,1.0,SPY
1999-11-16,140.5625,143.0,140.093704,141.25,89.1986187720421,7544800,0.0000,1.0,SPY
1999-11-17,142.25,142.9375,141.3125,141.625,89.4354292643573,9459000,0.0000,1.0,SPY
1999-11-18,142.4375,143.0,141.625,142.625,90.066923910531,4491000,0.0000,1.0,SPY
1999-11-19,142.406204,142.968704,142.0,142.5,89.9879870797593,4832100,0.0000,1.0,SPY
1999-11-22,142.4375,143.0,141.5,142.468704,89.9682238233126,4155400,0.0000,1.0,SPY
1999-11-23,142.843704,142.843704,140.375,141.218704,89.1788555155954,5918000,0.0000,1.0,SPY
1999-11-24,140.75,142.4375,140.0,141.968704,89.6524765002258,4459700,0.0000,1.0,SPY
1999-11-26,142.468704,142.875,141.25,141.4375,89.3170240181997,1693900,0.0000,1.0,SPY
1999-11-29,140.875,141.921799,140.4375,140.9375,89.0012766951128,7348600,0.0000,1.0,SPY
1999-11-30,140.75,142.3125,139.0,139.281204,87.9553346386338,7682000,0.0000,1.0,SPY
1999-12-01,139.3125,140.5,139.0,140.406204,88.6657661155793,6980200,0.0000,1.0,SPY
1999-12-02,140.625,141.375,140.375,141.25,89.1986187720421,6698300,0.0000,1.0,SPY
1999-12-03,143.031204,145.343704,143.031204,143.843704,90.8365289618015,10045400,0.0000,1.0,SPY
1999-12-06,143.531204,143.718704,142.25,142.781204,90.1655659002419,3138900,0.0000,1.0,SPY
1999-12-07,143.281204,143.3125,141.375,141.625,89.4354292643573,10714200,0.0000,1.0,SPY
1999-12-08,141.343704,142.0625,140.5,140.718704,88.8631081925086,4611400,0.0000,1.0,SPY
1999-12-09,141.8125,142.218704,139.375,141.406204,89.297260761753,6474700,0.0000,1.0,SPY
1999-12-10,142.281204,142.8125,140.875,141.875,89.5933029259007,5127300,0.0000,1.0,SPY
1999-12-13,141.4375,142.718704,141.281204,142.125,89.7511765874441,4210800,0.0000,1.0,SPY
1999-12-14,141.625,142.484299,140.625,140.75,88.8828714489552,5739000,0.0000,1.0,SPY
1999-12-15,140.375,142.203094,140.031204,141.5,89.3564924335855,6879100,0.0000,1.0,SPY
1999-12-16,142.1875,142.656204,141.156204,142.125,89.7511765874441,5854900,0.0000,1.0,SPY
1999-12-17,143.0,143.3125,142.0625,142.6875,90.3258695531838,4775400,0.3476,1.0,SPY
1999-12-20,142.5625,143.1875,141.093704,141.656204,89.6730253449195,4608700,0.0000,1.0,SPY
1999-12-21,141.593704,144.0625,141.343704,143.8125,91.0380314681892,7981300,0.0000,1.0,SPY
1999-12-22,143.625,144.1875,142.968704,144.1875,91.275418773191,5377500,0.0000,1.0,SPY
1999-12-23,145.015594,146.484299,145.0,146.484299,92.7293679058332,5721700,0.0000,1.0,SPY
1999-12-27,146.5,146.781204,145.0625,146.281204,92.6008021066083,2691000,0.0000,1.0,SPY
1999-12-28,145.875,146.5,145.484299,146.1875,92.5414843998673,4084500,0.0000,1.0,SPY
1999-12-29,146.3125,146.8125,145.3125,146.8125,92.9371299082036,3001000,0.0000,1.0,SPY
1999-12-30,147.125,147.5625,146.1875,146.640594,92.8283077693939,3641300,0.0000,1.0,SPY
1999-12-31,146.843704,147.5,146.25,146.875,92.9766944590372,3172700,0.0000,1.0,SPY
2000-01-03,148.25,148.25,143.875,145.4375,92.0667097898637,8164300,0.0000,1.0,SPY
2000-01-04,143.531204,144.0625,139.640594,139.75,88.4663356640031,8089800,0.0000,1.0,SPY
2000-01-05,139.9375,141.531204,137.25,140.0,88.6245938673376,12177900,0.0000,1.0,SPY
2000-01-06,139.625,141.5,137.75,137.75,87.2002700373268,6227200,0.0000,1.0,SPY
2000-01-07,140.3125,145.75,140.0625,145.75,92.2645325440319,8066500,0.0000,1.0,SPY
2000-01-10,146.25,146.906204,145.031204,146.25,92.5810489507009,5741700,0.0000,1.0,SPY
2000-01-11,145.8125,146.093704,143.5,144.5,91.4732415273592,7503700,0.0000,1.0,SPY
2000-01-12,144.593704,144.593704,142.875,143.0625,90.5632568581856,6907700,0.0000,1.0,SPY
2000-01-13,144.468704,145.75,143.281204,145.0,91.7897579340283,5158300,0.0000,1.0,SPY
2000-01-14,146.531204,147.468704,145.968704,146.968704,93.0360121657783,7437300,0.0000,1.0,SPY
2000-01-18,145.343704,146.625,145.1875,145.8125,92.3040970948655,6488500,0.0000,1.0,SPY
2000-01-19,145.3125,147.0,145.0,147.0,93.0558235607045,6157900,0.0000,1.0,SPY
